Test 8
x, y, z
0.01527405, -0.9116669, 0.1851959
0.01527405, -0.9116669, 0.1851959
0.01527405, -0.9116669, 0.1851959
0.01527405, -0.9116669, 0.1851959
0.01527405, -0.9116669, 0.1851959
0.01281738, -0.8832703, 0.1760254
0.01281738, -0.8832703, 0.1760254
0.01281738, -0.8832703, 0.1760254
0.01535034, -0.9623871, 0.1954956
0.01535034, -0.9623871, 0.1954956
0.01535034, -0.9623871, 0.1954956
0.01535034, -0.9623871, 0.1954956
0.01535034, -0.9623871, 0.1954956
0.01535034, -0.9623871, 0.1954956
0.01535034, -0.9623871, 0.1954956
0.01820374, -0.7728882, 0.1680603
0.01820374, -0.7728882, 0.1680603
0.01820374, -0.7728882, 0.1680603
0.02859497, -0.5881042, 0.2236633
0.02859497, -0.5881042, 0.2236633
0.02859497, -0.5881042, 0.2236633
0.02859497, -0.5881042, 0.2236633
0.02859497, -0.5881042, 0.2236633
0.02859497, -0.5881042, 0.2236633
0.02436829, -0.2582092, 0.1642456
0.02436829, -0.2582092, 0.1642456
0.02436829, -0.2582092, 0.1642456
0.02023315, 0.1915436, 0.1498566

